ID,Vraag,Antwoord,Taal vraag,Taal antwoord,Methode,Boek
30,de oma,die Oma,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
31,de opa,der Opa,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
32,de zus,die Schwester,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
33,de zoon,der Sohn,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
34,de stiefmoeder,die Stiefmutter,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
35,de dochter,die Tochter,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
36,de vader,der Vater,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
37,das Alter,de leeftijd,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
38,dort,daar,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
39,fahren,"gaan, rijden",Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
40,das Geburtsdatum,de geboortedatum,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
41,der Geburtsort,de geboorteplaats,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
42,häufig,vaak,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
43,man,men,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
44,die Postleitzahl,de postcode,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
45,die Sprache,de taal,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
46,stattfinden,plaatsvinden,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
47,vor,geleden,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
48,der Wohnort,de woonplaats,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
49,das Abitur,het vwo-eindexamen,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
50,der Erfolg,het succes,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
51,das Fahrrad,de fiets,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
52,die Freizeit,de vrije tijd,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
53,das Klavier,de piano,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
54,nah,dichtbij,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
55,neugierig,nieuwsgierig,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
56,sich freuen auf,zich verheugen op,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
57,treffen,ontmoeten,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
58,weit,ver,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
59,der Traum,de droom,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
60,der Zahnarzt,de tandarts,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
61,in januari,im Januar,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
62,januari,der Januar,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
63,februari,der Februar,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
64,maart,der März,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
65,april,der April,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
66,mei,der Mai,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
67,juni,der Juni,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
68,juli,der Juli,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
69,augustus,der August,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
70,september,der September,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
71,oktober,der Oktober,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
72,november,der November,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
73,december,der Dezember,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
74,ausgeben für,uitgeven aan,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
75,aussehen,eruitzien,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
76,bekommen,krijgen,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
77,brauchen,nodig hebben,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
78,die Farbe,de kleur,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
79,das Geschenk,het cadeau,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
80,es gibt,er is / er zijn,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
81,heute,vandaag,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
82,die Klamotten,de kleren,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
83,Österreich,Oostenrijk,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
84,die Schweiz,Zwitserland,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
85,das Taschengeld,het zakgeld,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
86,dunkel,donker,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
87,das Erdgeschoss,de begane grond,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
88,erfolgreich,succesvol,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
89,der Friseur,de kapper,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
90,das Kaufhaus,het warenhuis,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
91,die Kleidung,de kleding,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
92,der Kunde,de klant,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
93,die Marke,het merk,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
94,die Möbel,de meubels,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
95,der Schmuck,de sieraden,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
96,die Sonnenbrille,de zonnebril,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
97,täglich,dagelijks,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
98,gestreept,gestreift,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
99,de handschoen,der Handschuh,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
100,het overhemd,das Hemd,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
101,de broek,die Hose,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
102,de jas,die Jacke,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
103,geruit,kariert,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
104,de jurk,das Kleid,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
105,de trui,der Pullover,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
106,de rok,der Rock,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
107,de schoen,der Schuh,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
108,de laars,der Stiefel,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
109,ab,vanaf,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
110,aber,maar,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
111,einkaufen,winkelen,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
112,früher,vroeger,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
113,genug,voldoende,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
114,das Handy,het mobieltje,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
115,die Jugendlichen,de jongeren,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
116,lieben,houden van,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
117,möglich,mogelijk,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
118,die Schulsachen,de schoolspullen,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
119,die Seite,de kant,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
120,der Urlaub,de vakantie,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
121,einfach,gemakkelijk,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
122,die Einkaufsstraße,de winkelstraat,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
123,etwas,iets,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
124,fertig,klaar,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
125,der Laden,de winkel,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
126,leihen,lenen,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
127,nur,(alleen) maar,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
128,die Party,het feestje,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
129,später,later,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
130,trotzdem,toch,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
131,wünschen,wensen,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
132,zu,te,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
133,op maandag,am Montag,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
134,maandag,der Montag,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
135,dinsdag,der Dienstag,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
136,woensdag,der Mittwoch,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
137,donderdag,der Donnerstag,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
138,vrijdag,der Freitag,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
139,zaterdag,der Samstag,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
140,zondag,der Sonntag,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
141,door de week,unter der Woche,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
142,in het weekend,am Wochenende,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
143,vorige week,letzte Woche,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
144,volgende week,nächste Woche,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
145,sich ansehen,kijken naar,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
146,bereits,al,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
147,leider,helaas,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
148,die Mannschaft,het team,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
149,sogar,zelfs,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
150,die Sportart,de sportsoort,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
151,der Sportplatz,het sportveld,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
152,das Tor,de goal / het doelpunt,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
153,der Traumberuf,het droomberoep,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
154,der Verein,de vereniging,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
155,die Weltmeisterschaft,het wereldkampioenschap,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
156,der Zuschauer,de toeschouwer,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
157,anstrengend,inspannend,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
158,die Ausrede,het smoesje,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
159,das Ergebnis,de uitslag,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
160,faul,lui,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
161,der Körper,het lichaam,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
162,leicht,gemakkelijk,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
163,lustig,leuk,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
164,der Spaß,het plezier,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
165,die Sportnachrichten,het sportnieuws,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
166,der Tennisschläger,het tennisracket,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
167,vielleicht,misschien,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
168,ziemlich,tamelijk,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
169,basketballen,Basketball spielen,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
170,schaatsen,eislaufen,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
171,fietsen,Fahrrad fahren,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
172,badmintonnen,Federball spielen,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
173,fitnessen,Fitness machen,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
174,hockeyen,Hockey spielen,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
175,klimmen,klettern,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
176,paardrijden,reiten,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
177,zwemmen,schwimmen,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
178,zeilen,segeln,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
179,skiën,Ski fahren,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
180,tennissen,Tennis spielen,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
181,besuchen,bezoeken,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
182,dauern,duren,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
183,die Grundschule,de basisschool,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
184,das Gymnasium,"het vwo, het gymnasium",Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
185,der Kindergarten,de peuterspeelzaal / groep 1 en 2,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
186,die Nachhilfe,de bijles,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
187,die Note,het cijfer,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
188,der Stundenplan,het lesrooster,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
189,der Unterricht,de les,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
190,verschieden,verschillend,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
191,wählen,kiezen,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
192,das Zeugnis,het rapport,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
193,egal,om het even,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
194,erzählen,vertellen,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
195,früh,vroeg,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
196,krank,ziek,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
197,die Laune,de humeur,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
198,müde,moe,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
199,passieren,gebeuren,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
200,das Referat,de spreekbeurt,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
201,sondern,maar,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
202,der Taschenrechner,de rekenmachine,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
203,tauschen,ruilen,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
204,die Vokabeln,de woorden,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
205,het vak,das Fach,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
206,wiskunde,Mathematik,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
207,Engels,Englisch,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
208,Frans,Französisch,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
209,natuurkunde,Physik,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
210,scheikunde,Chemie,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
211,godsdienst,Religion,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
212,geschiedenis,Geschichte,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
213,aardrijkskunde,Erdkunde,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
214,Spaans,Spanisch,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
215,Italiaans,Italienisch,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
216,economie,Wirtschaft,Nederlands,Duits,Na Klar!,VWO - Leerjaar 1 - Deel VG-A - 4e editie
217,damals,toen,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
218,das Geschäft,de winkel,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
219,insgesamt,in totaal,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
220,jedoch,echter,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
221,die Marmelade,de jam,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
222,das Mehl,de bloem,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
223,der Nachtisch,"het dessert, het nagerecht",Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
224,der Pfannkuchen,de pannenkoek,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
225,sofort,meteen,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
226,die Torte,de taart,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
227,zubereiten,klaarmaken,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
228,der Zucker,de suiker,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
229,das Abendessen,het avondeten,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
230,das Brötchen,het broodje,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
231,das Frühstück,het ontbijt,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
232,gemütlich,gezellig,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
233,das Getränk,het drankje,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
234,die Kartoffel,de aardappel,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
235,köstlich,heerlijk,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
236,die Küche,de keuken,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
237,der Kuchen,het gebak,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
238,das Mittagessen,de lunch,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
239,die Öffnungszeiten,de openingstijden,Duits,Nederlands,Na Klar!,VWO - Leerjaar 1 - Deel VG-B - 4e editie
